,literal,inicio,fim,varinicio,varfim,inteiro,real,leia,escreva,se,fimse,pt_v,id,vir,lit,num,atr,opa,ab_p,fc_p,então,opr,$,P,V,A,L,LV,D,TIPO,ES,ARG,CMD,LD,OPRD,COND,CAB,CP,EXP_R
47,E47,E47,s18,E47,E47,E47,E47,s19,s37,s19,E47,E47,s43,E47,E47,E47,E47,E47,E47,E47,E47,E47,E47,E47,E47,48,E47,E47,E47,E47,42,E47,46,E47,E47,47,35,E47,E47
48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,r24,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48,E48
49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,r18,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49,E49
50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,r28,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50,E50
51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,r30,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51,E51
52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,r17,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52,E52
53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,r16,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53,E53
54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,r15,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54,E54
55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,s56,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55,E55
56,E56,E56,r14,E56,E56,E56,E56,r14,r14,r14,E56,r14,r14,E56,E56,E56,r14,E56,r14,E56,E56,E56,E56,E56,E56,E56,E56,E56,E56,E56,E56,E56,E56,E56,E56,E56,E56,E56,E56
57,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57,r21,E57,E57,E57,E57,E57,s58,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57,E57
58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,s21,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,E58,59,E58,E58,E58,E58
59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,r20,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59,E59
60,E60,E60,r4,E60,E60,E60,E60,r4,r4,r4,E60,r4,r4,E60,E60,E60,r4,E60,r4,E60,E60,E60,E60,E60,E60,E60,E60,E60,E60,E60,E60,E60,E60,E60,E60,E60,E60,E60,E60
